Material description,Manufacturer,Rated power,Actual flow volume air/gas,"Pressure, static",
Centrifugal plug fan,NADI,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,22.000 kW,"32,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,15.000 kW,"12,850.000 m3/h","2,500 Pa",
Centrifugal plug fan,NADI,15.000 kW,"44,094.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,18.500 kW,"52,912.000 m3/h",600 Pa,
Fan,NADI,37.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,30.000 kW,"48,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,18.500 kW,"66,140.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,15.000 kW,"30,000.000 m3/h","1,130 Pa",
Centrifugal plug fan,NADI,3.700 kW,"12,000.000 m3/h",550 Pa,
Centrifugal plug fan,NADI,7.500 kW,"24,000.000 m3/h",550 Pa,
Centrifugal plug fan,NADI,22.000 kW,"40,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,30.000 kW,"60,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,15.000 kW,"10,500.000 m3/h","2,500 Pa",
Centrifugal plug fan,NADI,15.000 kW,"12,850.000 m3/h","2,500 Pa",
Centrifugal plug fan,NADI,15.000 kW,"10,500.000 m3/h","2,500 Pa",
Centrifugal plug fan,NADI,15.000 kW,"39,684.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,18.500 kW,"36,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,15.000 kW,"39,684.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,15.000 kW,"39,684.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,15.000 kW,"39,684.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,18.500 kW,"36,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,5.500 kW,"15,000.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"40,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"40,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,5.500 kW,"10,000.000 m3/h",900 Pa,
Centrifugal plug fan,HYGIENIC AIR,37.000 kW,"60,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,37.000 kW,"51,400.000 m3/h","1,600 Pa",
Centrifugal plug fan,NADI,22.000 kW,"30,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,11.000 kW,"33,070.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,15.000 kW,"30,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,HYGIENIC AIR,37.000 kW,"60,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"45,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"102,900.000 m3/h","1,650 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"102,900.000 m3/h","1,650 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"36,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,HYGIENIC AIR,15.000 kW,"39,684.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"45,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,HYGIENIC AIR,15.000 kW,"49,605.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,110.000 kW,"118,900.000 m3/h","2,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,110.000 kW,"118,900.000 m3/h","2,000 Pa",
Centrifugal plug fan,NADI,4.000 kW,"10,000.000 m3/h",700 Pa,
Centrifugal plug fan,NADI,2.200 kW,"4,000.000 m3/h",800 Pa,
Centrifugal plug fan,NADI,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,160.000 kW,"142,000.000 m3/h","2,400 Pa",
Centrifugal plug fan,NADI,160.000 kW,"142,000.000 m3/h","2,400 Pa",
Centrifugal plug fan,NADI,110.000 kW,"133,800.000 m3/h","1,800 Pa",
Centrifugal plug fan,NADI,15.000 kW,"44,094.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,22.000 kW,"40,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,HYGIENIC AIR,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,1.100 kW,"4,000.000 m3/h",500 Pa,
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"36,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,2.200 kW,"4,428.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,30.000 kW,"50,000.000 m3/h",900 Pa,
Centrifugal plug fan,NADI,22.000 kW,"36,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,NADI,15.000 kW,"37,741.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,3.700 kW,"5,900.000 m3/h",700 Pa,
Centrifugal plug fan,NADI,18.500 kW,"36,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,2.200 kW,"9,000.000 m3/h",500 Pa,
Centrifugal plug fan,NADI,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,30.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,7.500 kW,"25,500.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,15.000 kW,"24,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,45.000 kW,"75,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,22.000 kW,"82,675.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,30.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,22.000 kW,"45,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,15.000 kW,"49,605.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,90.000 kW,"127,650.000 m3/h","1,600 Pa",
Centrifugal plug fan,NADI,15.000 kW,"40,500.000 m3/h",700 Pa,
Centrifugal plug fan,HYGIENIC AIR,37.000 kW,"60,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,55.000 kW,"75,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,15.000 kW,"45,000.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,30.000 kW,"45,000.000 m3/h","1,300 Pa",
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"60,000.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"60,000.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"60,000.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"60,000.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"45,000.000 m3/h","1,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"60,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"64,000.000 m3/h",650 Pa,
Centrifugal plug fan,HYGIENIC AIR,37.000 kW,"49,000.000 m3/h","1,700 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"60,000.000 m3/h","3,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,55.000 kW,"42,250.000 m3/h","3,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"60,000.000 m3/h","1,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"48,750.000 m3/h","3,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,11.000 kW,"22,000.000 m3/h","1,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,15.000 kW,"20,000.000 m3/h","1,350 Pa",
Centrifugal plug fan,NADI,30.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,37.000 kW,"60,000.000 m3/h","1,400 Pa",
Centrifugal plug fan,NADI,30.000 kW,"66,000.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"78,500.000 m3/h",750 Pa,
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"56,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,NADI,55.000 kW,"60,000.000 m3/h","1,940 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"48,000.000 m3/h","1,350 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"48,000.000 m3/h","1,250 Pa",
Centrifugal plug fan,HYGIENIC AIR,5.500 kW,"12,000.000 m3/h",800 Pa,
Centrifugal plug fan,HYGIENIC AIR,55.000 kW,"72,500.000 m3/h","1,450 Pa",
Centrifugal plug fan,HYGIENIC AIR,55.000 kW,"72,500.000 m3/h","1,450 Pa",
Centrifugal plug fan,HYGIENIC AIR,55.000 kW,"90,000.000 m3/h","1,150 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"104,000.000 m3/h","1,750 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"104,000.000 m3/h","1,750 Pa",
Centrifugal plug fan,HYGIENIC AIR,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"75,000.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,45.000 kW,"75,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,HYGIENIC AIR,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,37.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"112,000.000 m3/h","1,400 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"120,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"60,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,HYGIENIC AIR,18.500 kW,"66,000.000 m3/h",450 Pa,
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"45,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,15.000 kW,"24,000.000 m3/h","1,400 Pa",
Centrifugal plug fan,HYGIENIC AIR,11.000 kW,"28,914.000 m3/h",700 Pa,
Centrifugal plug fan,HYGIENIC AIR,11.000 kW,"9,700.000 m3/h","2,400 Pa",
Centrifugal plug fan,NADI,37.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,18.500 kW,"30,478.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,15.000 kW,"31,351.000 m3/h",900 Pa,
Centrifugal plug fan,NADI,15.000 kW,"31,254.000 m3/h",900 Pa,
Centrifugal plug fan,NADI,22.000 kW,"30,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,15.000 kW,"31,351.000 m3/h",900 Pa,
Centrifugal plug fan,NADI,90.000 kW,"105,000.000 m3/h","1,800 Pa",
Centrifugal plug fan,NADI,90.000 kW,"105,000.000 m3/h","1,800 Pa",
Centrifugal plug fan,NADI,15.000 kW,"16,000.000 m3/h","1,600 Pa",
Centrifugal plug fan,NADI,37.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,37.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,37.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,22.000 kW,"30,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,37.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,15.000 kW,"24,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,18.500 kW,"32,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,HYGIENIC AIR,37.000 kW,"60,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,NADI,11.000 kW,"9,700.000 m3/h","2,000 Pa",
Centrifugal plug fan,NADI,3.700 kW,"9,000.000 m3/h",800 Pa,
Centrifugal plug fan,NADI,3.700 kW,"12,000.000 m3/h",550 Pa,
Centrifugal plug fan,NADI,7.500 kW,"24,000.000 m3/h",550 Pa,
Centrifugal plug fan,NADI,15.000 kW,"36,800.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,18.500 kW,"36,000.000 m3/h","1,000 Pa",
Centrifugal plug fan,NADI,18.500 kW,"36,000.000 m3/h",950 Pa,
Centrifugal plug fan,NADI,18.500 kW,"36,000.000 m3/h",950 Pa,
Centrifugal plug fan,NADI,37.000 kW,"60,000.000 m3/h",950 Pa,
Centrifugal plug fan,NADI,15.000 kW,"36,000.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,132.000 kW,"154,000.000 m3/h","1,800 Pa",
Centrifugal plug fan,NADI,132.000 kW,"154,000.000 m3/h","1,800 Pa",
Centrifugal plug fan,NADI,3.700 kW,"9,000.000 m3/h",750 Pa,
Centrifugal plug fan,NADI,5.500 kW,"12,000.000 m3/h",550 Pa,
Centrifugal plug fan,NADI,5.500 kW,"12,000.000 m3/h",550 Pa,
Centrifugal plug fan,NADI,7.500 kW,"24,000.000 m3/h",550 Pa,
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"87,000.000 m3/h","1,450 Pa",
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"36,000.000 m3/h","1,350 Pa",
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"36,000.000 m3/h","1,350 Pa",
Centrifugal plug fan,HYGIENIC AIR,15.000 kW,"24,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,110.000 kW,"160,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"45,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,HYGIENIC AIR,55.000 kW,"60,000.000 m3/h","1,700 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"60,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"45,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,15.000 kW,"20,000.000 m3/h","1,350 Pa",
Centrifugal plug fan,HYGIENIC AIR,45.000 kW,"49,000.000 m3/h","2,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"42,750.000 m3/h","3,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"48,750.000 m3/h","3,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,90.000 kW,"63,000.000 m3/h","3,000 Pa",
Centrifugal plug fan,NADI,37.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,37.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,22.000 kW,"40,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,30.000 kW,"48,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,NADI,30.000 kW,"36,000.000 m3/h","1,400 Pa",
Centrifugal plug fan,NADI,15.000 kW,"42,500.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,22.000 kW,"52,912.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,30.000 kW,"39,512.000 m3/h",900 Pa,
Centrifugal fan with housing,NADI,90.000 kW,"19,688.000 m3/h","9,000 Pa",
Centrifugal fan with housing,NADI,7.500 kW,"15,675.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,55.000 kW,"15,125.000 m3/h","8,000 Pa",
Centrifugal fan with housing,NADI,55.000 kW,"15,125.000 m3/h","8,000 Pa",
Centrifugal fan with housing,NADI,75.000 kW,"18,150.000 m3/h","8,000 Pa",
Centrifugal fan with housing,NADI,22.000 kW,"65,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,30.000 kW,"70,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,30.000 kW,"70,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,22.000 kW,"55,000.000 m3/h",900 Pa,
Centrifugal fan with housing,NADI,22.000 kW,"48,000.000 m3/h",900 Pa,
Centrifugal fan with housing,NADI,22.000 kW,"60,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,18.500 kW,"50,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,7.500 kW,"19,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,45.000 kW,"110,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,45.000 kW,"110,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,11.000 kW,"34,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,15.000 kW,"38,000.000 m3/h",850 Pa,
Centrifugal fan with housing,NADI,7.500 kW,"26,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"14,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,37.000 kW,"95,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,22.000 kW,"65,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,22.000 kW,"65,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,22.000 kW,"55,000.000 m3/h",900 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"16,500.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"12,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,7.500 kW,"13,125.000 m3/h","1,200 Pa",
Centrifugal fan with housing,NADI,7.500 kW,"12,540.000 m3/h","1,200 Pa",
Centrifugal fan with housing,NADI,45.000 kW,"12,100.000 m3/h","8,000 Pa",
Centrifugal fan with housing,NADI,3.700 kW,"10,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"10,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,37.000 kW,"95,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"10,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,11.000 kW,"28,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"15,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,22.000 kW,"50,000.000 m3/h",950 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"12,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"12,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,45.000 kW,"54,000.000 m3/h","1,500 Pa",
Centrifugal fan with housing,NADI,55.000 kW,"63,000.000 m3/h","1,500 Pa",
Centrifugal fan with housing,NADI,45.000 kW,"48,000.000 m3/h","1,500 Pa",
Centrifugal fan with housing,NADI,132.000 kW,"165,000.000 m3/h","1,500 Pa",
Centrifugal fan with housing,NADI,5.500 kW,"15,000.000 m3/h",600 Pa,
