Material description,Manufacturer,Rated power,Actual flow volume air/gas,"Pressure, static",
Centrifugal fan with housing,HYGIENIC AIR,1.100 kW,"4,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"6,500.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,132.000 kW,"200,000.000 m3/h","1,650 Pa",
Centrifugal fan with housing,HYGIENIC AIR,132.000 kW,"200,000.000 m3/h","1,650 Pa",
Centrifugal fan with housing,HYGIENIC AIR,15.000 kW,"37,000.000 m3/h",750 Pa,
Centrifugal fan with housing,HYGIENIC AIR,7.500 kW,"24,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,30.000 kW,"86,200.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,18.500 kW,"24,000.000 m3/h","1,700 Pa",
Centrifugal fan with housing,HYGIENIC AIR,5.500 kW,"20,000.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,75.000 kW,"116,000.000 m3/h","1,400 Pa",
Centrifugal fan with housing,HYGIENIC AIR,75.000 kW,"116,000.000 m3/h","1,400 Pa",
Centrifugal fan with housing,HYGIENIC AIR,75.000 kW,"130,000.000 m3/h","1,400 Pa",
Centrifugal fan with housing,HYGIENIC AIR,75.000 kW,"130,000.000 m3/h","1,400 Pa",
Centrifugal fan with housing,HYGIENIC AIR,90.000 kW,"145,000.000 m3/h","1,400 Pa",
Centrifugal fan with housing,HYGIENIC AIR,90.000 kW,"145,000.000 m3/h","1,400 Pa",
Centrifugal fan with housing,NADI,37.000 kW,"95,000.000 m3/h",800 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"8,661.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"6,782.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"6,782.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,3.700 kW,"1,340.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,30.000 kW,"43,000.000 m3/h","1,500 Pa",
Centrifugal fan with housing,HYGIENIC AIR,3.700 kW,"14,000.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,55.000 kW,"79,000.000 m3/h","1,500 Pa",
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"8,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,1.500 kW,"4,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,0.550 kW,"1,250.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,1.500 kW,"4,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,37.000 kW,"56,000.000 m3/h","1,400 Pa",
Centrifugal fan with housing,HYGIENIC AIR,55.000 kW,"93,000.000 m3/h","1,400 Pa",
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"6,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,30.000 kW,"49,000.000 m3/h","1,350 Pa",
Centrifugal fan with housing,HYGIENIC AIR,1.100 kW,"2,400.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,0.750 kW,"2,359.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,1.500 kW,"2,500.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"17,100.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,110.000 kW,"229,000.000 m3/h","1,000 Pa",
Centrifugal fan with housing,NADI,110.000 kW,"255,300.000 m3/h","1,000 Pa",
Centrifugal fan with housing,NADI,18.500 kW,"60,000.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,200.000 kW,"267,000.000 m3/h","1,700 Pa",
Centrifugal fan with housing,NADI,90.000 kW,"125,000.000 m3/h","1,700 Pa",
Centrifugal fan with housing,NADI,30.000 kW,"98,100.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,4.000 kW,"8,500.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,4.000 kW,"10,800.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,11.000 kW,"24,000.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,15.000 kW,"43,100.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,45.000 kW,"58,000.000 m3/h","1,500 Pa",
Centrifugal fan with housing,NADI,2.200 kW,"5,757.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"6,000.000 m3/h",625 Pa,
Centrifugal fan with housing,NADI,1.500 kW,"8,000.000 m3/h",350 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"14,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"20,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"20,000.000 m3/h",550 Pa,
Centrifugal fan with housing,NADI,15.000 kW,"56,500.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,15.000 kW,"60,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,18.500 kW,"71,300.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,30.000 kW,"90,000.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,110.000 kW,"143,500.000 m3/h","1,700 Pa",
Centrifugal fan with housing,NADI,132.000 kW,"165,500.000 m3/h","1,900 Pa",
Centrifugal fan with housing,NADI,132.000 kW,"152,000.000 m3/h","1,700 Pa",
Centrifugal fan with housing,NADI,37.000 kW,"12,510.000 m3/h","7,000 Pa",
Centrifugal fan with housing,NADI,110.000 kW,"24,160.000 m3/h","10,000 Pa",
Centrifugal fan with housing,NADI,132.000 kW,"165,500.000 m3/h","1,900 Pa",
Centrifugal fan with housing,NADI,132.000 kW,"139,000.000 m3/h","2,000 Pa",
Centrifugal fan with housing,NADI,132.000 kW,"139,000.000 m3/h","2,000 Pa",
Centrifugal fan with housing,NADI,160.000 kW,"182,000.000 m3/h","1,900 Pa",
Centrifugal fan with housing,NADI,160.000 kW,"182,000.000 m3/h","1,900 Pa",
Centrifugal fan with housing,NADI,22.000 kW,"53,000.000 m3/h",900 Pa,
Centrifugal fan with housing,NADI,90.000 kW,"125,000.000 m3/h","1,700 Pa",
Centrifugal fan with housing,HYGIENIC AIR,75.000 kW,"93,000.000 m3/h","1,550 Pa",
Centrifugal fan with housing,HYGIENIC AIR,22.000 kW,"60,100.000 m3/h",800 Pa,
Centrifugal fan with housing,HYGIENIC AIR,3.700 kW,"7,500.000 m3/h",800 Pa,
Centrifugal fan with housing,HYGIENIC AIR,11.000 kW,"26,800.000 m3/h",800 Pa,
Centrifugal fan with housing,HYGIENIC AIR,1.500 kW,"3,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,1.500 kW,"4,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"6,000.000 m3/h",550 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"4,000.000 m3/h","1,000 Pa",
Centrifugal fan with housing,HYGIENIC AIR,1.500 kW,"5,300.000 m3/h",550 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"6,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"7,500.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"8,000.000 m3/h",550 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"8,000.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,7.500 kW,"18,000.000 m3/h",750 Pa,
Centrifugal fan with housing,HYGIENIC AIR,5.500 kW,"17,300.000 m3/h",550 Pa,
Centrifugal fan with housing,HYGIENIC AIR,11.000 kW,"30,800.000 m3/h",550 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"7,929.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"8,627.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,45.000 kW,"74,000.000 m3/h","1,300 Pa",
Centrifugal fan with housing,HYGIENIC AIR,45.000 kW,"74,000.000 m3/h","1,300 Pa",
Centrifugal fan with housing,NADI,1.100 kW,"3,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,45.000 kW,"53,500.000 m3/h","1,700 Pa",
Centrifugal fan with housing,NADI,55.000 kW,"66,000.000 m3/h","1,700 Pa",
Centrifugal fan with housing,NADI,1.500 kW,"4,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"10,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"14,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,11.000 kW,"25,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,11.000 kW,"29,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,75.000 kW,"80,500.000 m3/h","1,700 Pa",
Centrifugal fan with housing,NADI,3.700 kW,"12,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"13,000.000 m3/h",550 Pa,
Centrifugal fan with housing,NADI,1.100 kW,"3,172.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"8,112.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,1.100 kW,"3,245.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"10,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"5,000.000 m3/h",,
Centrifugal fan with housing,HYGIENIC AIR,11.000 kW,"30,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,1.100 kW,"2,300.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,1.500 kW,"4,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"5,100.000 m3/h",700 Pa,
Centrifugal fan with housing,NADI,9.300 kW,"15,000.000 m3/h","1,200 Pa",
Centrifugal fan with housing,NADI,7.500 kW,"17,700.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,7.500 kW,"17,700.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,7.500 kW,"18,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,7.500 kW,"20,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,11.000 kW,"29,700.000 m3/h",700 Pa,
Centrifugal fan with housing,NADI,45.000 kW,"59,050.000 m3/h","1,500 Pa",
Centrifugal fan with housing,NADI,55.000 kW,"70,700.000 m3/h","1,500 Pa",
Centrifugal fan with housing,NADI,75.000 kW,"93,550.000 m3/h","1,500 Pa",
Centrifugal fan with housing,NADI,45.000 kW,"120,000.000 m3/h",900 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"12,000.000 m3/h",550 Pa,
Centrifugal fan with housing,HYGIENIC AIR,3.700 kW,"10,800.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"6,000.000 m3/h",550 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"6,000.000 m3/h",550 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"8,000.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"8,000.000 m3/h",550 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"8,295.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"6,000.000 m3/h",750 Pa,
Centrifugal fan with housing,HYGIENIC AIR,3.700 kW,"12,100.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,3.700 kW,"12,000.000 m3/h",550 Pa,
Centrifugal fan with housing,HYGIENIC AIR,22.000 kW,"33,000.000 m3/h","1,350 Pa",
Centrifugal fan with housing,HYGIENIC AIR,30.000 kW,"47,500.000 m3/h","1,350 Pa",
Centrifugal fan with housing,HYGIENIC AIR,11.000 kW,"39,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,11.000 kW,"38,500.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,15.000 kW,"51,300.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"4,428.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,30.000 kW,"50,000.000 m3/h",900 Pa,
Centrifugal fan with housing,NADI,37.000 kW,"48,000.000 m3/h","1,700 Pa",
Centrifugal fan with housing,NADI,5.500 kW,"15,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,1.100 kW,650.000 m3/h,250 Pa,
Centrifugal fan,NADI,1.100 kW,"3,500.000 m3/h",500 Pa,
Centrifugal fan,NADI,2.200 kW,"8,500.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"8,436.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"8,112.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"13,000.000 m3/h",550 Pa,
Centrifugal fan with housing,NADI,75.000 kW,"121,850.000 m3/h","1,250 Pa",
Centrifugal fan with housing,NADI,5.500 kW,"21,500.000 m3/h",550 Pa,
Centrifugal fan with housing,NADI,9.300 kW,"40,500.000 m3/h",550 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"12,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"6,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"8,000.000 m3/h",550 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"8,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,45.000 kW,"85,050.000 m3/h","1,250 Pa",
Centrifugal fan with housing,HYGIENIC AIR,30.000 kW,"40,000.000 m3/h","1,350 Pa",
Centrifugal fan with housing,HYGIENIC AIR,11.000 kW,"7,000.000 m3/h","2,500 Pa",
Centrifugal fan with housing,HYGIENIC AIR,30.000 kW,"40,000.000 m3/h","1,350 Pa",
Centrifugal fan with housing,HYGIENIC AIR,11.000 kW,"7,000.000 m3/h","2,500 Pa",
Centrifugal fan with housing,HYGIENIC AIR,30.000 kW,"40,000.000 m3/h","1,350 Pa",
Centrifugal fan with housing,HYGIENIC AIR,30.000 kW,"40,000.000 m3/h","1,350 Pa",
Centrifugal fan with housing,HYGIENIC AIR,1.500 kW,"5,000.000 m3/h",400 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"12,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"8,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"4,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"4,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"6,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"6,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"8,000.000 m3/h",550 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"8,000.000 m3/h",600 Pa,
Centrifugal fan,HYGIENIC AIR,3.700 kW,"12,000.000 m3/h",600 Pa,
Centrifugal fan,HYGIENIC AIR,7.500 kW,"15,000.000 m3/h","1,000 Pa",
Centrifugal fan,HYGIENIC AIR,3.700 kW,"12,000.000 m3/h",700 Pa,
Centrifugal fan,HYGIENIC AIR,3.700 kW,"15,000.000 m3/h",600 Pa,
Centrifugal fan,NADI,5.500 kW,"14,000.000 m3/h",600 Pa,
Centrifugal fan,HYGIENIC AIR,5.500 kW,"14,000.000 m3/h",600 Pa,
Centrifugal fan,HYGIENIC AIR,11.000 kW,"36,000.000 m3/h",600 Pa,
Centrifugal fan,HYGIENIC AIR,22.000 kW,"73,000.000 m3/h",600 Pa,
Centrifugal fan,HYGIENIC AIR,75.000 kW,"120,000.000 m3/h","1,450 Pa",
Centrifugal fan,HYGIENIC AIR,22.000 kW,"36,000.000 m3/h","1,300 Pa",
Centrifugal fan,HYGIENIC AIR,75.000 kW,"85,000.000 m3/h","1,600 Pa",
Centrifugal fan,HYGIENIC AIR,1.500 kW,"3,000.000 m3/h","1,000 Pa",
Centrifugal fan with housing,NADI,3.700 kW,"9,600.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"6,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,15.000 kW,"45,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"6,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"5,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"3,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,7.500 kW,"15,400.000 m3/h","1,350 Pa",
Centrifugal fan with housing,NADI,7.500 kW,"28,800.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,15.000 kW,"29,800.000 m3/h","1,350 Pa",
Centrifugal fan with housing,NADI,3.700 kW,"12,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"16,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"12,800.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,11.000 kW,"20,200.000 m3/h","1,350 Pa",
Centrifugal fan with housing,NADI,15.000 kW,"23,200.000 m3/h","1,350 Pa",
Centrifugal fan with housing,NADI,3.700 kW,"12,700.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,7.500 kW,"17,700.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,37.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal fan with housing,NADI,1.100 kW,"3,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"4,000.000 m3/h",800 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"10,000.000 m3/h",600 Pa,
Centrifugal fan,HYGIENIC AIR,5.500 kW,"15,000.000 m3/h",750 Pa,
Centrifugal fan with housing,HYGIENIC AIR,45.000 kW,"92,500.000 m3/h",900 Pa,
Centrifugal fan,HYGIENIC AIR,3.700 kW,"9,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,37.000 kW,"52,900.000 m3/h","1,600 Pa",
Centrifugal fan with housing,NADI,2.200 kW,"8,295.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"9,075.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,1.100 kW,"4,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,0.750 kW,"2,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,22.000 kW,"74,000.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,90.000 kW,"130,000.000 m3/h","1,700 Pa",
Centrifugal fan with housing,NADI,110.000 kW,"145,000.000 m3/h","1,700 Pa",
Centrifugal fan with housing,NADI,30.000 kW,"50,000.000 m3/h","1,200 Pa",
Centrifugal fan with housing,NADI,1.500 kW,"5,500.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"12,000.000 m3/h",550 Pa,
Centrifugal fan with housing,NADI,1.500 kW,"6,000.000 m3/h",550 Pa,
